종류,시설명,정원,소재지,전화번호,시설장,데이터기준일자
노인요양시설,YWCA 은학의 집,29,경기도 성남시 분당구 벌말로30번길 41 (야탑동),031-707-8790,명진숙,2021-01-01
노인요양시설,가천효요양원,37,"경기도 성남시 수정구 성남대로 1334, 4층 (태평동)",031-757-7600,김남현,2021-01-01
노인요양시설,고운손요양원,25,"경기도 성남시 분당구 구미로 124, 4층 (구미동, 구미동,굿모닝프라자1)",031-714-5047,박기영,2021-01-01
노인요양시설,늘푸른요양원,42,경기도 성남시 중원구 광명로 331 (금광동),031-731-7508,전윤정,2021-01-01
노인요양시설,더힐링요양원,49,경기도 성남시 분당구 장안로16번길 10 (분당동),031-703-1197,김선영,2021-01-01
노인요양시설,로뎀나무 요양원,64,"경기도 성남시 수정구 탄리로 108-1 (태평동, 혜성빌딩 4층)",031-753-3525,정영란,2021-01-01
노인요양시설,메디케어,36,"경기도 성남시 분당구 미금로 48 (구미동, 오성프라자 5층)",031-719-9949,노재영,2021-01-01
노인요양시설,베스트요양원,41,"경기도 성남시 중원구 도촌남로 33 (도촌동, 601,401,402호(세일프라자))",031-755-9909,안정란,2021-01-01
노인요양시설,분당메디케어,49,"경기도 성남시 분당구 정자일로 158, 8층 (정자동, 백궁프라자2차)",031-711-9959,이종례,2021-01-01
노인요양시설,석운노인전문요양원,135,경기도 성남시 분당구 석운로 133 (석운동),031-709-2340,정성원,2021-01-01
노인요양시설,성남 천상의집 1관,29,"경기도 성남시 분당구 성남대로779번길 13, 201호 (이매동, 오성프라자)",031-709-4992,김복녀,2021-01-01
노인요양시설,성남 천상의집 2관,29,"경기도 성남시 분당구 성남대로779번길 13 (이매동, 오성프라자 301,302,401,404~406)",031-703-4992,이은주,2021-01-01
노인요양시설,성남시노인보건센터,147,경기도 성남시 중원구 금상로 137 (상대원동),031-739-3932,김용혜,2021-01-01
노인요양시설,성남요양원,162,경기도 성남시 수정구 수정북로 90 (태평동),031-722-1155,이영숙,2021-01-01
노인요양시설,성남은빛요양원,27,"경기도 성남시 중원구 둔촌대로425번길 28, 5,6,7층 (상대원동)",031-743-2527,김태선,2021-01-01
노인요양시설,성모실버홈,75,경기도 성남시 수정구 성남대로1226번길 19 (수진동),031-721-7772,김맹자,2021-01-01
노인요양시설,순효노인요양원,93,"경기도 성남시 중원구 산성대로 94 (성남동,정빌딩)",031-754-5008,박형숙,2021-01-01
노인요양시설,스카이빌요양원,73,경기도 성남시 수정구 수정로 76 (수진동),031-750-6098,이춘자,2021-01-01
노인요양시설,시온의집,21,경기도 성남시 중원구 둔촌대로389번길 22 (상대원동),031-734-5401,윤승호,2021-01-01
노인요양시설,실버릿지판교,36,경기도 성남시 수정구 사송로80번길 7 (사송동),031-723-5812,권은미,2021-01-01
노인요양시설,양지실버빌,40,경기도 성남시 수정구 수정남로 131 (신흥동),031-733-4080,이용례,2021-01-01
노인요양시설,에이치요양원,44,"경기도 성남시 분당구 백현로 97 (수내동, 다운타운빌딩 1101호)",031-1577-5975,홍남숙,2021-01-01
노인요양시설,위례보아스요양원,40,"경기도 성남시 수정구 위례서일로 12, 7층 (창곡동)",031-721-9920,서혜진,2021-01-01
노인요양시설,인보의집소규모요양시설,17,경기도 성남시 수정구 탄리로 49 (수진동),031-751-1937,공은미,2021-01-01
노인요양시설,자광원,89,경기도 성남시 수정구 가마절로 40 (복정동),031-759-5320,김정자,2021-01-01
노인요양시설,정성노인의집,75,경기도 성남시 분당구 석운로 146 (석운동),031-705-3973,박수안,2021-01-01
